design,n_participants,biomarker_correlation,carryover_t1half,correlation,p_value,significant,iteration
crossover,20,0.6,0,0.8746909785147692,4.5517267713576735e-7,TRUE,1
crossover,20,0.6,0,0.7590008850204476,1.044080559063651e-4,TRUE,2
crossover,20,0.6,0,0.7836109658532077,4.3671281893647296e-5,TRUE,3
crossover,20,0.6,0,0.872764508853078,5.183593823226634e-7,TRUE,4
crossover,20,0.6,0,0.8122096891713477,1.364344818735442e-5,TRUE,5
crossover,20,0.6,0,0.8190242166813673,1.0045779521602583e-5,TRUE,6
crossover,20,0.6,0,0.8552120732553953,1.551184934020408e-6,TRUE,7
crossover,20,0.6,0,0.8077931089216028,1.6530737028358594e-5,TRUE,8
crossover,20,0.6,0,0.8875464987305566,1.8039944963082015e-7,TRUE,9
crossover,20,0.6,0,0.8744023863290881,4.641855648001771e-7,TRUE,10
hybrid,20,0.6,1.5,0.8348564876946207,4.686153148849689e-6,TRUE,1
hybrid,20,0.6,1.5,0.8061135603646167,1.7760079471272193e-5,TRUE,2
hybrid,20,0.6,1.5,0.8886987636236495,1.651458372492601e-7,TRUE,3
hybrid,20,0.6,1.5,0.8544568012868526,1.6208513735315224e-6,TRUE,4
hybrid,20,0.6,1.5,0.8827811765404078,2.5741325346130105e-7,TRUE,5
hybrid,20,0.6,1.5,0.7692161902276352,7.364347945835823e-5,TRUE,6
hybrid,20,0.6,1.5,0.8105767693447234,1.4655333415878973e-5,TRUE,7
hybrid,20,0.6,1.5,0.8864527408141641,1.9600807889960922e-7,TRUE,8
hybrid,20,0.6,1.5,0.8518151756248242,1.8864774361541949e-6,TRUE,9
hybrid,20,0.6,1.5,0.7929983960453889,3.0403575107888463e-5,TRUE,10
crossover,20,0.6,1.5,0.8691202975821324,6.59154326167476e-7,TRUE,1
crossover,20,0.6,1.5,0.8824676959646469,2.633629588423894e-7,TRUE,2
crossover,20,0.6,1.5,0.8148800182114692,1.2119062364131134e-5,TRUE,3
crossover,20,0.6,1.5,0.8543471349710334,1.6311907973701283e-6,TRUE,4
crossover,20,0.6,1.5,0.8967704590218638,8.645944441336465e-8,TRUE,5
crossover,20,0.6,1.5,0.7810387920553311,4.808005000590614e-5,TRUE,6
crossover,20,0.6,1.5,0.8763395559755691,4.065653229697372e-7,TRUE,7
crossover,20,0.6,1.5,0.7639798703275832,8.826109632242377e-5,TRUE,8
crossover,20,0.6,1.5,0.8697764815643679,6.315764696095818e-7,TRUE,9
crossover,20,0.6,1.5,0.6950609177483692,6.6973929491817e-4,TRUE,10
hybrid,50,0.4,0,0.8506994392892894,5.2427546386257374e-15,TRUE,1
hybrid,50,0.4,0,0.8495077890842705,6.255820996462513e-15,TRUE,2
hybrid,50,0.4,0,0.8576173013938013,1.8222826554599836e-15,TRUE,3
hybrid,50,0.4,0,0.8010032429294511,2.8532940840156364e-12,TRUE,4
hybrid,50,0.4,0,0.7912866034689882,7.958797098417839e-12,TRUE,5
hybrid,50,0.4,0,0.7692905864984861,6.728365205093198e-11,TRUE,6
hybrid,50,0.4,0,0.6979083648676744,1.7693093079960858e-8,TRUE,7
hybrid,50,0.4,0,0.8463254045917042,9.953827406469813e-15,TRUE,8
hybrid,50,0.4,0,0.812811337185243,7.583726564626677e-13,TRUE,9
hybrid,50,0.4,0,0.7772362959239102,3.199858840599882e-11,TRUE,10
crossover,50,0.4,0,0.7753527222636306,3.826728211626821e-11,TRUE,1
crossover,50,0.4,0,0.721489174548957,3.3967670824081828e-9,TRUE,2
crossover,50,0.4,0,0.7664095536078812,8.745874067280857e-11,TRUE,3
crossover,50,0.4,0,0.735378902082736,1.1854938530362932e-9,TRUE,4
crossover,50,0.4,0,0.8044652042015593,1.952872085784533e-12,TRUE,5
crossover,50,0.4,0,0.6809888093724152,5.2634995825492916e-8,TRUE,6
crossover,50,0.4,0,0.6239010124737338,1.2938767073026816e-6,TRUE,7
crossover,50,0.4,0,0.7871095453681287,1.2167836832134384e-11,TRUE,8
crossover,50,0.4,0,0.7281294232571677,2.070031511447924e-9,TRUE,9
crossover,50,0.4,0,0.8065499137069987,1.548558676708864e-12,TRUE,10
hybrid,50,0.4,1.5,0.7197349684341215,3.862472488141022e-9,TRUE,1
hybrid,50,0.4,1.5,0.8122749622806427,8.070345834478192e-13,TRUE,2
hybrid,50,0.4,1.5,0.8328185518374248,6.399250472693138e-14,TRUE,3
hybrid,50,0.4,1.5,0.8343179478816831,5.24821619919583e-14,TRUE,4
hybrid,50,0.4,1.5,0.7851001940905912,1.4874613434601495e-11,TRUE,5
hybrid,50,0.4,1.5,0.8857428310225144,1.2887754890250279e-17,TRUE,6
hybrid,50,0.4,1.5,0.7869060815259421,1.241906328386383e-11,TRUE,7
hybrid,50,0.4,1.5,0.7690907222222717,6.852726084183253e-11,TRUE,8
hybrid,50,0.4,1.5,0.8317316392477886,7.379500648449888e-14,TRUE,9
hybrid,50,0.4,1.5,0.8059692649732336,1.6523798420375713e-12,TRUE,10
crossover,50,0.4,1.5,0.7471841765015897,4.596535881052456e-10,TRUE,1
crossover,50,0.4,1.5,0.7268409524859685,2.2813891515384135e-9,TRUE,2
crossover,50,0.4,1.5,0.8158366436343674,5.319985425953483e-13,TRUE,3
crossover,50,0.4,1.5,0.747047043367422,4.6487812202468673e-10,TRUE,4
crossover,50,0.4,1.5,0.7438205016551049,6.052515361439311e-10,TRUE,5
crossover,50,0.4,1.5,0.6706699094037842,9.885843479401799e-8,TRUE,6
crossover,50,0.4,1.5,0.731048905046795,1.6573729426424612e-9,TRUE,7
crossover,50,0.4,1.5,0.7015667069315074,1.3840180166137806e-8,TRUE,8
crossover,50,0.4,1.5,0.76616631803332,8.940147722406393e-11,TRUE,9
crossover,50,0.4,1.5,0.8137215328105768,6.821052668704016e-13,TRUE,10
hybrid,50,0.6,0,0.8440573401454055,1.3771760866285692e-14,TRUE,1
hybrid,50,0.6,0,0.8181017089824377,4.062360067693994e-13,TRUE,2
hybrid,50,0.6,0,0.8385631919791638,2.9612404791932435e-14,TRUE,3
hybrid,50,0.6,0,0.8815892495295478,2.892794145000733e-17,TRUE,4
hybrid,50,0.6,0,0.8925310578523898,3.2067625821077083e-18,TRUE,5
hybrid,50,0.6,0,0.885986245128667,1.2279484961923203e-17,TRUE,6
hybrid,50,0.6,0,0.8374902581057226,3.4273542198783427e-14,TRUE,7
hybrid,50,0.6,0,0.8480270913308882,7.775084043954173e-15,TRUE,8
hybrid,50,0.6,0,0.8873488372641921,9.348801475712835e-18,TRUE,9
hybrid,50,0.6,0,0.8577651682784485,1.7805094918649507e-15,TRUE,10
crossover,50,0.6,0,0.7943899593398405,5.769629452037911e-12,TRUE,1
crossover,50,0.6,0,0.8143158916398716,6.362936771025003e-13,TRUE,2
crossover,50,0.6,0,0.794202549159332,5.883715887910982e-12,TRUE,3
crossover,50,0.6,0,0.7884675836933804,1.0610252238203052e-11,TRUE,4
crossover,50,0.6,0,0.8542039578308819,3.090372097286263e-15,TRUE,5
crossover,50,0.6,0,0.8289574772264144,1.0569113431477188e-13,TRUE,6
crossover,50,0.6,0,0.7955315592506592,5.118680033361874e-12,TRUE,7
crossover,50,0.6,0,0.8755574311124308,8.882800921082449e-17,TRUE,8
crossover,50,0.6,0,0.8740480307579852,1.1655568774887788e-16,TRUE,9
crossover,50,0.6,0,0.8608422232719503,1.0923373078574508e-15,TRUE,10
hybrid,50,0.6,1.5,0.8238346580097009,2.0180747535942574e-13,TRUE,1
hybrid,50,0.6,1.5,0.862460432053807,8.408682537169729e-16,TRUE,2
hybrid,50,0.6,1.5,0.8571063852135085,1.9739141117274336e-15,TRUE,3
hybrid,50,0.6,1.5,0.8520150241027719,4.306053025286486e-15,TRUE,4
hybrid,50,0.6,1.5,0.828648821952615,1.0995731865799766e-13,TRUE,5
hybrid,50,0.6,1.5,0.8448504160779301,1.2301033731324215e-14,TRUE,6
hybrid,50,0.6,1.5,0.8573259664688847,1.907330676157603e-15,TRUE,7
hybrid,50,0.6,1.5,0.8656432679464906,4.977039385630213e-16,TRUE,8
hybrid,50,0.6,1.5,0.8650308911478476,5.511114644705029e-16,TRUE,9
hybrid,50,0.6,1.5,0.8267915042803179,1.392908342219913e-13,TRUE,10
crossover,50,0.6,1.5,0.7555423005673002,2.2764016316293175e-10,TRUE,1
crossover,50,0.6,1.5,0.7875208937869358,1.1674550623109656e-11,TRUE,2
crossover,50,0.6,1.5,0.8787826091830143,4.9118480727930065e-17,TRUE,3
crossover,50,0.6,1.5,0.7980836540687415,3.906062499253679e-12,TRUE,4
crossover,50,0.6,1.5,0.8289248029456351,1.0613519993611678e-13,TRUE,5
crossover,50,0.6,1.5,0.7920225217867024,7.37790320487253e-12,TRUE,6
crossover,50,0.6,1.5,0.8544160372194707,2.9917687241034804e-15,TRUE,7
crossover,50,0.6,1.5,0.8236046939573217,2.076512797791698e-13,TRUE,8
crossover,50,0.6,1.5,0.7835059532571443,1.741806312908328e-11,TRUE,9
crossover,50,0.6,1.5,0.73374673014873,1.3461138244035742e-9,TRUE,10
