row_id,design,iteration,p_value,significant,effect_size,table_row,p_value_formatted,effect_size_formatted,significance_indicator
35,crossover,35,3.796261689266874e-4,TRUE,0.3394030800735493,69,0.000380,0.3394,*
35,hybrid,35,0.23310489053088576,FALSE,0.12477752248766609,70,0.233105,0.1248,
36,crossover,36,0.9504496312023469,FALSE,-0.006964837141585324,71,0.950450,-0.0070,
36,hybrid,36,0.02377534193558434,TRUE,0.26286349436369943,72,0.023775,0.2629,*
37,crossover,37,0.39917973382075966,FALSE,0.08472450991998158,73,0.399180,0.0847,
37,hybrid,37,0.04789406193701544,TRUE,0.17162512436153748,74,0.047894,0.1716,*
38,crossover,38,0.36282100750537427,FALSE,0.08011008251807403,75,0.362821,0.0801,
38,hybrid,38,8.656186083987922e-8,TRUE,0.49842583024972575,76,0.000000,0.4984,*
39,crossover,39,0.007133454650241272,TRUE,-0.24932892032486975,77,0.007133,-0.2493,*
39,hybrid,39,0.8932293137307832,FALSE,-0.015804072484605518,78,0.893229,-0.0158,
40,crossover,40,0.7797071120186247,FALSE,0.027733223484389807,79,0.779707,0.0277,
40,hybrid,40,0.7807460351970463,FALSE,-0.02802249654298554,80,0.780746,-0.0280,
41,crossover,41,0.08918985157273068,FALSE,-0.1776565095349148,81,0.089190,-0.1777,
41,hybrid,41,0.14457848968309164,FALSE,0.12779516735622237,82,0.144578,0.1278,
42,crossover,42,0.35409698568755554,FALSE,-0.08197192355589583,83,0.354097,-0.0820,
42,hybrid,42,0.6512334220624816,FALSE,0.043659523925857674,84,0.651233,0.0437,
43,crossover,43,0.271114118720352,FALSE,0.08548519482913311,85,0.271114,0.0855,
43,hybrid,43,1.0248961739243111e-4,TRUE,0.3697550429652717,86,0.000102,0.3698,*
44,crossover,44,0.09805709166555551,FALSE,0.13296738533717678,87,0.098057,0.1330,
44,hybrid,44,0.019450604261163414,TRUE,-0.2618641293867877,88,0.019451,-0.2619,*
45,crossover,45,0.027858297231103762,TRUE,0.20111383344934464,89,0.027858,0.2011,*
45,hybrid,45,0.06520389264644064,FALSE,-0.21646432080359704,90,0.065204,-0.2165,
46,crossover,46,0.010753325020448101,TRUE,0.25943953026457023,91,0.010753,0.2594,*
46,hybrid,46,0.2591749210405769,FALSE,0.12324057770618344,92,0.259175,0.1232,
47,crossover,47,0.9903224592183553,FALSE,0.0012015295320007661,93,0.990322,0.0012,
47,hybrid,47,0.49011571018946065,FALSE,-0.07394013973583295,94,0.490116,-0.0739,
48,crossover,48,0.2119130403198059,FALSE,0.11861157570878632,95,0.211913,0.1186,
48,hybrid,48,0.013771965770530175,TRUE,0.20886493469916997,96,0.013772,0.2089,*
49,crossover,49,1.0350748107026521e-5,TRUE,-0.42562342380941853,97,0.000010,-0.4256,*
49,hybrid,49,0.0025343862227482305,TRUE,-0.3319679495653603,98,0.002534,-0.3320,*
50,crossover,50,0.5170245993001401,FALSE,-0.057980633038832184,99,0.517025,-0.0580,
50,hybrid,50,0.8105281322719949,FALSE,-0.02845968530049733,100,0.810528,-0.0285,
