design	true_effect	n_reps	n_converged	conv_rate	rejection_rate	mcse_rate	mean_beta	sd_beta	mcse_mean_beta	coverage	mcse_coverage
Nof1_hybrid	-2	1500	1500	1	0.988666666666667	0.00273311652256648	-2.11548118973236	0.493579544976635	0.0127441690514876	0.948666666666667	0.005697848846844
Nof1_hybrid	-1	1500	1500	1	0.618666666666667	0.0125410850732628	-1.14834993879098	0.501609973629797	0.0129515138277316	0.934666666666667	0.00638043305159814
Nof1_hybrid	-0.5	1500	1500	1	0.258	0.0112970792685543	-0.671480732086413	0.47982451217493	0.012389015631704	0.941333333333333	0.00606766780506255
Nof1_hybrid	0	1500	1500	1	0.0613333333333333	0.00619524309749319	-0.201765856835039	0.473330304097279	0.0122213359001603	0.938666666666667	0.00619524309749319
parallel_RCT	-2	1500	1500	1	0.189333333333333	0.0101155399335947	-1.93831776372793	1.73427927011991	0.0447788982056478	0.934	0.00641061619503149
parallel_RCT	-1	1500	1500	1	0.09	0.00738918128076447	-0.963831384087449	1.75430115714726	0.0452958611057584	0.939333333333333	0.00616366894104598
parallel_RCT	-0.5	1500	1500	1	0.0573333333333333	0.00600256735195989	-0.480640496781676	1.70249935277755	0.0439583442682423	0.949333333333333	0.0056627175781925
parallel_RCT	0	1500	1500	1	0.0493333333333333	0.00559163396248095	0.0285889451317828	1.68863459537794	0.043600357771523	0.944	0.00593655343332027
